itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SP5M12_50X70|Siebdruckmaschine SP5M 12 50x70|textile-screenprinting machine SP5M 12 50x70|ST|0.0|SP5000 Manuell|12
SP5M12_50X70US|Siebdruckmaschine SP5M 12 50x70 US|textile-screenprinting machine SP5M 12 50x70 US|ST|0.0|SP5000 Manuell US|12
SP5M12_50X70VAK|Siebdruckmaschine SP5M 12 50x70 VAK|textile-screenprinting machine SP5M 12 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|12
SP5M12_70X100|Siebdruckmaschine SP5M 12 70x100|textile-screenprinting machine SP5M 12 70x100|ST|20612.18|SP5000 Manuell|12
SP5M12_70X100US|Siebdruckmaschine SP5M 12 70x100 US|textile-screenprinting machine SP5M 12 70x100 US|ST|20612.18|SP5000 Manuell US|12
SP5M12_70X100VAK|Siebdruckmaschine SP5M 12 70x100 VAK|textile-screenprinting machine SP5M 12 70x100 VAK|ST|20612.18|SP5000 Manuell VAKUUM|12
SP5M12_80X110|Siebdruckmaschine SP5M 12 80x110|textile-screenprinting machine SP5M 12 80x110|ST|0.0|SP5000 Manuell|12
SP5M12_80X110US|Siebdruckmaschine SP5M 12 80x110 US|textile-screenprinting machine SP5M 12 80x110 US|ST|0.0|SP5000 Manuell US|12
SP5M12_80X110VAK|Siebdruckmaschine SP5M 12 80x110 VAK|textile-screenprinting machine SP5M 12 80x110 VAK|ST|0.0|SP5000 Manuell VAKUUM|12
SP5M14_50X70|Siebdruckmaschine SP5M 14 50x70|textile-screenprinting machine SP5M 14 50x70|ST|0.0|SP5000 Manuell|14
SP5M14_50X70US|Siebdruckmaschine SP5M 14 50x70 US|textile-screenprinting machine SP5M 14 50x70 US|ST|0.0|SP5000 Manuell US|14
SP5M14_50X70VAK|Siebdruckmaschine SP5M 14 50x70 VAK|textile-screenprinting machine SP5M 14 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|14
SP5M14_70X100|Siebdruckmaschine SP5M 14 70x100|textile-screenprinting machine SP5M 14 70x100|ST|0.0|SP5000 Manuell|14
SP5M14_70X100US|Siebdruckmaschine SP5M 14 70x100 US|textile-screenprinting machine SP5M 14 70x100 US|ST|0.0|SP5000 Manuell US|14
SP5M14_70X100VAK|Siebdruckmaschine SP5M 14 70x100 VAK|textile-screenprinting machine SP5M 14 70x100 VAK|ST|0.0|SP5000 Manuell VAKUUM|14
SP5M16_50X70|Siebdruckmaschine SP5M 16 50x70|textile-screenprinting machine SP5M 16 50x70|ST|0.0|SP5000 Manuell|16
SP5M16_50X70US|Siebdruckmaschine SP5M 16 50x70 US|textile-screenprinting machine SP5M 16 50x70 US|ST|0.0|SP5000 Manuell US|16
SP5M16_50X70VAK|Siebdruckmaschine SP5M 16 50x70 VAK|textile-screenprinting machine SP5M 16 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|16
SP5M18_50X70|Siebdruckmaschine SP5M 18 50x70|textile-screenprinting machine SP5M 18 50x70|ST|0.0|SP5000 Manuell|18
SP5M18_50X70US|Siebdruckmaschine SP5M 18 50x70 US|textile-screenprinting machine SP5M 18 50x70 US|ST|0.0|SP5000 Manuell US|18
SP5M18_50X70VAK|Siebdruckmaschine SP5M 18 50x70 VAK|textile-screenprinting machine SP5M 18 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|18
SP5M20_50X70|Siebdruckmaschine SP5M 20 50x70|textile-screenprinting machine SP5M 20 50x70|ST|0.0|SP5000 Manuell|20
SP5M20_50X70US|Siebdruckmaschine SP5M 20 50x70 US|textile-screenprinting machine SP5M 20 50x70 US|ST|0.0|SP5000 Manuell US|20
