itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
ZUB105690|Druckrakel 50cm 55-Shore|"squeegee blade 50cm(19,6"") 55-shore"|ST|1|14,97833|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;43x50;45x55;45x70;50x70;70x100;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SPSXLS;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB105710|Alu-Palette mit Hals SPSXLS 32x100cm_400|alu-pallet with neck SPSXLS 32x100cm_400|ST|3|94,2|Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;SPiQ-2 US;SPSXLF;SPSXLS;Single Print WAND;SPiQ-2
ZUB105711|Alu-Palette ohne Hals SPSXLS 32x100cm_400|alu-pallet without neck SPSXLS 32x100cm_400|ST|3|88,14083|SPSXLF;SPSXLS;Single Print WAND;SPiQ-2;45x70;50x70;70x100;80x110;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM
ZUB105729|Option Peel-Off SP5000|Peel-Off function SP5000|ST|7|0,0|SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;70x100;SP5000 Manuell VAKUUM US;SP5000 AUTO VAKUUM US
ZUB105733|Druckrakel 72cm 55-Shore|"squeegee blade 72cm(28,3"") 55-shore"|ST|1|19,95|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;70x100;SPiQ AUTO;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US
ZUB105739|Druckrakel 32cm 55-Shore|"squeegee blade 32cm(12,6"") 55-shore"|ST|1|13,11|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105745|Druckrakel 40cm 55-Shore|"squeegee blade 40cm(15,7"") 55-shore"|ST|1|12,73|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;43x50;45x55;45x70;50x70;70x100;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SPSXLS;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB105767|Set IR-Temperatursensor für Zwischentrockner|set IR-temperature sensor for flash cure unit|ST|5|384,92|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ-2 US;50x70;70x100;80x110;80x120;90x120;70x120;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105814|Alu-Ärmelpalette 13x80cm_400|alu-sleeve pallet 13x80cm_400|ST|3|39,36778|SPSX;SPXC;SPiQ COMPACT AUTO US;43x50;45x55;SPiQ COMPACT AUTO;SPiQ COMPACT US;SPiQ COMPACT
ZUB105884|Flutrakel low 72cm|flood blade low 72cm|ST|2|12,332|SPiQ;Single Print FAHRBAR VAKUUM;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;SPiQ US;70x100;80x110;Single Print WAND;SPiQ-2
ZUB105885|Flutrakel low 82cm|flood blade low 82cm|ST|2|14,11667|SPiQ;Single Print WAND;90x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;SPiQ-2;SPiQ US;80x110;80x120
ZUB105888|Alu-Palette ohne Hals SI 75x120cm_500|alu-pallet without neck SI 75x120cm_500|ST|3|165,47|Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;70x100;80x110;Single Print WAND VAKUUM;Single Print WAND
ZUB105890|Alu-Palette mit Hals SPSXLS 45x100cm_400|alu-pallet with neck SPSXLS 45x100cm_400|ST|3|99,175|SPSXLF;SPSXLS;Single Print WAND;80x110;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;SPiQ-2;45x70;50x70;70x100
ZUB105891|Alu-Palette ohne Hals SPSXLS 45x100cm_400|alu-pallet without neck SPSXLS 45x100cm_400|ST|3|97,515|SPSXLF;SPSXLS;Single Print WAND;SPiQ-2;45x70;50x70;70x100;80x110;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM
ZUB105897|Flutrakel mit Flügel low 32cm starr|flood blade with wings low 32cm steep|ST|2|19,01833|SPSX;SPXC;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;Single Print WAND;SPiQ-2;SPiQ US;SPiQ COMPACT US;43x50;45x55
ZUB105905|Alu-Palette mit Hals SPSXLS 40x100cm_400|alu-pallet with neck SPSXLS 40x100cm_400|ST|3|96,84375|Single Print FAHRBAR VAKUUM;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;50x70;70x100;80x110;45x70;SPSXLF;SPSXLS;Single Print WAND;SPiQ-2
